Date_reported,New_cases
11-03-2020,10
12-03-2020,13
13-03-2020,8
14-03-2020,3
15-03-2020,23
16-03-2020,7
17-03-2020,23
18-03-2020,14
19-03-2020,22
20-03-2020,50
21-03-2020,60
22-03-2020,77
23-03-2020,74
24-03-2020,85
25-03-2020,87
26-03-2020,43
27-03-2020,75
28-03-2020,185
29-03-2020,70
30-03-2020,92
31-03-2020,180
01-04-2020,386
02-04-2020,328
03-04-2020,336
04-04-2020,601
05-04-2020,472
06-04-2020,693
07-04-2020,354
08-04-2020,853
09-04-2020,591
10-04-2020,547
11-04-2020,1035
12-04-2020,909
13-04-2020,796
14-04-2020,1211
15-04-2020,1076
16-04-2020,941
17-04-2020,1007
18-04-2020,991
19-04-2020,1334
20-04-2020,1553
21-04-2020,1336
22-04-2020,1383
23-04-2020,1409
24-04-2020,1684
25-04-2020,1429
26-04-2020,1990
27-04-2020,1396
28-04-2020,1543
29-04-2020,1897
30-04-2020,1718
01-05-2020,1993
02-05-2020,2293
03-05-2020,2644
04-05-2020,2553
05-05-2020,3900
06-05-2020,2958
07-05-2020,3561
08-05-2020,3390
09-05-2020,3320
10-05-2020,3277
11-05-2020,4213
12-05-2020,3604
13-05-2020,3525
14-05-2020,3722
15-05-2020,3967
16-05-2020,3970
17-05-2020,4987
18-05-2020,5242
19-05-2020,4970
20-05-2020,5611
21-05-2020,5609
22-05-2020,6088
23-05-2020,6654
24-05-2020,6767
25-05-2020,6977
26-05-2020,6535
27-05-2020,6387
28-05-2020,6566
29-05-2020,7466
30-05-2020,7964
31-05-2020,8380
01-06-2020,8392
02-06-2020,8171
03-06-2020,8909
04-06-2020,9304
05-06-2020,9851
06-06-2020,9887
07-06-2020,9971
08-06-2020,9983
09-06-2020,9987
10-06-2020,9985
11-06-2020,9996
12-06-2020,10956
13-06-2020,11458
14-06-2020,11929
15-06-2020,11502
16-06-2020,10667
17-06-2020,10974
18-06-2020,12881
19-06-2020,13586
20-06-2020,14516
21-06-2020,15413
22-06-2020,14821
23-06-2020,14933
24-06-2020,15968
25-06-2020,16922
26-06-2020,17296
27-06-2020,18552
28-06-2020,19906
29-06-2020,19459
30-06-2020,18522
01-07-2020,18653
02-07-2020,19148
03-07-2020,20903
04-07-2020,22771
05-07-2020,24850
06-07-2020,24248
07-07-2020,22252
08-07-2020,22752
09-07-2020,24879
10-07-2020,26506
11-07-2020,27114
12-07-2020,28637
13-07-2020,28701
14-07-2020,28498
15-07-2020,29429
16-07-2020,32695
17-07-2020,34956
18-07-2020,34884
19-07-2020,38902
20-07-2020,40425
21-07-2020,37148
22-07-2020,37724
23-07-2020,45720
24-07-2020,49310
25-07-2020,48916
26-07-2020,48661
27-07-2020,49931
28-07-2020,47703
29-07-2020,48513
30-07-2020,52123
31-07-2020,55078
01-08-2020,57118
02-08-2020,54735
03-08-2020,52972
04-08-2020,52050
05-08-2020,52509
06-08-2020,56282
07-08-2020,62538
08-08-2020,61537
09-08-2020,64399
10-08-2020,62064
11-08-2020,53601
12-08-2020,60963
13-08-2020,66999
14-08-2020,64553
15-08-2020,65002
16-08-2020,63490
17-08-2020,57981
18-08-2020,55079
19-08-2020,64531
20-08-2020,69652
21-08-2020,68898
22-08-2020,69878
23-08-2020,69239
24-08-2020,61408
25-08-2020,60975
26-08-2020,67151
27-08-2020,75760
28-08-2020,77266
29-08-2020,76472
30-08-2020,78761
31-08-2020,78512
01-09-2020,69921
02-09-2020,78357
03-09-2020,83883
04-09-2020,83341
05-09-2020,86432
06-09-2020,90632
07-09-2020,90802
08-09-2020,75809
09-09-2020,89706
10-09-2020,95735
11-09-2020,96551
12-09-2020,97570
13-09-2020,94372
14-09-2020,92071
15-09-2020,83809
16-09-2020,90123
17-09-2020,97894
18-09-2020,96424
19-09-2020,93337
20-09-2020,92605
21-09-2020,86961
22-09-2020,75083
23-09-2020,83347
24-09-2020,86508
25-09-2020,86052
26-09-2020,85362
27-09-2020,88600
28-09-2020,82170
29-09-2020,70589
30-09-2020,80472
01-10-2020,86821
02-10-2020,81484
03-10-2020,79476
04-10-2020,75829
05-10-2020,74442
06-10-2020,61267
07-10-2020,72049
08-10-2020,78524
09-10-2020,70496
10-10-2020,73272
11-10-2020,74383
12-10-2020,66732
13-10-2020,55342
14-10-2020,63509
15-10-2020,67708
